"id","share","const","x1","x2","x3","price","z1","z2","z3","z4","z5","z6","s0"
1,1.53e-06,1,1.3083,-1.086,0.62005,8.4422,1.7171,1.7605,1.1005,1.2698,0.99395,1.2324,0.880219206
1,0.00017927,1,0.32607,-0.099568,0.2152,4.8189,0.82205,1.3412,0.88167,1.5278,1.59,0.73792,0.880219206
1,1.24e-07,1,1.337,-1.2829,-0.35014,9.3389,1.2528,1.8106,1.2831,1.2977,1.7962,1.4254,0.880219206
1,0.0054846,1,-0.62182,0.19163,-0.35314,2.713,0.27334,0.28097,0.57756,0.43412,0.95288,0.41781,0.880219206
1,5.89e-06,1,1.23,0.050389,1.8702,8.884,1.5889,1.8697,1.7405,1.8711,1.6301,1.8406,0.880219206
1,0.00023179,1,2.6024,-1.7947,1.0032,6.3078,0.83207,1.0138,0.75013,0.90964,1.2246,1.127,0.880219206
1,1.59e-06,1,-1.2601,1.4713,0.55289,9.3456,1.8368,1.998,1.5115,1.4866,2.2244,1.9482,0.880219206
1,0.0023788,1,-1.2407,1.132,0.024772,3.497,0.94524,0.58032,1.0182,1.0191,0.95907,1.0076,0.880219206
1,0.0055376,1,-0.51686,0.60341,0.24356,2.9493,0.53327,1.4151,0.45163,1.0131,1.0701,1.0146,0.880219206
1,0.049902,1,1.0055,-1.4132,-0.42419,1.5627,0.1836,0.078436,0.10727,0.58053,0.34109,0.77879,0.880219206
1,5.73e-05,1,1.299,-0.90128,0.36479,4.9502,1.6832,1.2252,1.8623,1.923,1.5701,2.0095,0.880219206
1,1.53e-05,1,-1.7323,1.9303,0.035997,7.9541,1.6554,1.2169,1.1732,1.0973,1.3224,1.0846,0.880219206
1,0.055985,1,-0.18832,-0.83191,-1.3163,0.75047,0.77171,1.0759,0.87261,0.41491,0.28284,0.35731,0.880219206
2,0.0052917,1,-1.0146,-0.091348,-1.8052,2.9507,1.368,1.401,1.214,0.79356,1.0486,0.68993,0.91164362
2,2.1e-05,1,2.1255,-2.0346,0.4312,6.1437,1.7731,1.0474,1.7432,1.2625,1.7635,1.6153,0.91164362
2,0.047354,1,0.15783,-1.6534,-2.1731,1.3963,0.67216,0.72302,1.421,0.67412,1.3795,1.3902,0.91164362
2,0.0069209,1,-1.3321,1.1275,-0.32103,3.0858,0.19896,0.077808,0.63896,0.076991,0.23381,0.33017,0.91164362
2,3.67e-05,1,-0.53674,-0.13963,-1.3435,5.4841,1.0673,0.82654,1.1544,1.1076,0.67722,1.2529,0.91164362
2,0.00027098,1,-0.51323,-0.032836,-1.2422,4.4693,0.80693,0.64577,0.7138,0.8731,0.11074,0.13714,0.91164362
2,0.0031687,1,1.8425,-1.6282,0.44815,2.8708,1.5762,1.0446,1.272,0.67485,1.6435,1.3572,0.91164362
2,0.02518,1,0.43367,0.25804,1.0356,2.4125,0.9464,0.76116,1.6088,0.81706,1.2263,1.453,0.91164362
2,2.01e-05,1,-0.17788,0.49243,0.84809,6.7702,1.5745,1.2745,1.1649,1.7892,0.9125,1.5064,0.91164362
2,9.23e-05,1,0.50971,0.076926,1.0221,5.574,1.0055,1.6734,1.3515,1.145,1.2347,1.621,0.91164362
3,1.1e-05,1,-0.53594,0.54179,0.028265,6.6468,1.227,1.3132,1.2716,1.3821,0.83191,1.7234,0.91692557
3,4.39e-05,1,0.52784,-0.94348,-0.72774,4.6535,0.84627,0.56843,1.1138,1.4964,0.85575,0.55062,0.91692557
3,9.27e-06,1,-0.51415,0.21537,-0.83249,5.9527,0.83744,1.0482,1.2967,1.2648,1.0767,0.76188,0.91692557
3,0.081285,1,-1.3204,1.0005,-1.1317,1.2027,0.19165,0.16357,0.21721,0.57404,0.58734,0.12396,0.91692557
3,0.0002989,1,1.0505,-1.373,-0.73073,3.7144,1.0343,1.0973,0.59336,0.85417,1.2559,1.2717,0.91692557
3,0.0013972,1,0.73765,-1.1677,-0.34513,3.2247,1.0005,0.88528,0.87735,0.25193,0.66157,0.59722,0.91692557
3,1.16e-06,1,1.9612,-1.6795,-0.084334,7.7425,1.6961,1.3463,2.1276,1.7124,1.4887,2.0224,0.91692557
3,2.8e-05,1,-1.3257,0.664,-0.36787,5.3216,1.6166,0.96684,1.4646,1.2031,1.015,1.521,0.91692557
4,9.9e-06,1,-1.2839,0.73678,-0.38773,6.728,0.83256,0.64697,0.61937,1.2657,1.3986,1.3927,0.7554091978
4,2.01e-07,1,-0.48684,0.70145,-0.45319,9.6248,1.5801,1.3984,1.5077,1.1622,1.6151,1.2572,0.7554091978
4,1.36e-05,1,-0.24242,-0.60754,-1.1832,4.9856,0.72075,1.0578,0.54801,1.2622,1.1179,0.79901,0.7554091978
4,1.62e-07,1,-0.66308,0.23019,-0.36195,9.1107,1.9366,1.4663,1.6814,1.2464,1.5521,1.2813,0.7554091978
4,0.00090511,1,0.061213,-0.50321,-1.0732,3.6776,0.23685,0.54266,0.71754,0.79771,0.55751,0.56985,0.7554091978
4,7.92e-08,1,0.66975,-0.64787,0.058804,9.6357,1.9523,1.6667,1.8796,1.3069,1.283,1.687,0.7554091978
4,8.9e-05,1,0.60834,0.14913,1.2717,6.8872,1.1499,1.1625,1.2633,1.2405,1.5504,1.1458,0.7554091978
4,7.41e-05,1,0.89694,-0.11112,0.69712,5.7041,1.0312,1.7479,1.5138,1.6794,1.6854,1.6899,0.7554091978
4,3.3e-06,1,0.48162,-0.43649,0.15283,7.2475,1.5218,1.5637,0.87209,1.1056,1,1.581,0.7554091978
4,0.00084572,1,-0.39953,0.52459,0.45744,4.6456,0.88596,0.26684,1.1696,0.7613,1.0479,1.064,0.7554091978
4,5.48e-06,1,0.20717,-0.36908,-0.84051,6.373,1.0233,1.4908,1.1674,0.93289,0.99328,1.6009,0.7554091978
4,0.0042716,1,-1.1395,1.3123,0.33951,3.7887,0.91241,1.1775,0.52543,0.98094,1.1043,0.62461,0.7554091978
4,0.00033956,1,0.084149,0.4778,1.0801,5.7367,0.4968,1.3678,0.49838,1.2831,1.3354,1.4197,0.7554091978
4,7.12e-06,1,-0.38243,0.03554,-0.69861,6.7428,0.49546,1.1079,1.1292,0.67363,0.48218,0.61037,0.7554091978
4,0.046997,1,-0.37481,0.018706,-0.95857,1.5672,0.39845,1.019,0.88299,1.0024,0.28268,0.7265,0.7554091978
4,8.25e-05,1,0.81345,-0.81663,-0.19023,5.1045,1.0433,1.4334,0.64752,1.1297,1.156,1.4713,0.7554091978
4,0.19015,1,-1.177,-1.1593,-3.0643,-0.36636,0.68033,0.86783,1.3126,1.2912,0.47807,0.71093,0.7554091978
4,2.77e-06,1,0.74989,-1.0351,0.20962,6.3686,1.5073,1.9655,1.5048,1.162,1.2299,1.8319,0.7554091978
4,0.0007936,1,-0.38621,0.4988,0.09635,3.7388,1.3297,0.64399,0.7386,1.4293,1.0445,0.89477,0.7554091978
5,4.5e-05,1,-0.44276,0.10194,-0.44223,5.4241,0.87967,1.3243,1.4252,1.3511,1.4144,1.1881,0.99321283
5,2.61e-05,1,-0.52244,1.7515,1.8938,8.1159,2.7022,2.27,1.964,2.7097,1.9037,2.2184,0.99321283
5,0.00040956,1,0.53792,-0.20953,0.55362,4.5153,1.4772,1.5453,0.81067,0.81619,1.5671,1.2172,0.99321283
5,3.48e-06,1,0.91819,-1.3328,-0.25977,7.9881,0.6603,1.0024,0.42593,1.163,1.0705,1.109,0.99321283
5,0.00021063,1,0.45342,0.13603,-0.25304,5.8469,1.4017,0.83423,1.2681,1.0857,1.0387,0.98829,0.99321283
5,0.0060924,1,0.20419,-0.79916,-0.96962,2.4086,0.28564,0.82009,0.23368,0.46766,0.52513,0.13577,0.99321283
6,0.0037448,1,-1.5142,1.5733,0.25718,4.1588,0.56188,1.0715,0.28096,0.62756,0.54953,0.66586,0.947410155
6,4.62e-07,1,-0.62883,1.4653,1.5916,9.6134,2.8638,2.5235,2.4871,2.8376,2.2741,2.4819,0.947410155
6,3.53e-06,1,-0.85799,0.706,-0.51812,7.745,0.77354,0.77063,0.94106,1.531,0.78648,1.3137,0.947410155
6,1.18e-07,1,1.1838,-0.58482,0.70218,10.029,1.4299,1.4782,2.0342,1.5578,1.9111,1.9008,0.947410155
6,0.00049513,1,1.6841,-2.1936,-1.0242,4.1642,0.80548,0.95506,0.18029,0.73171,0.45684,0.063962,0.947410155
6,0.0059554,1,-1.2846,0.81864,-0.36046,3.0005,0.13745,0.21706,0.67329,0.44371,0.55481,0.51462,0.947410155
6,8.99e-06,1,0.83455,-0.69453,0.4654,6.3897,1.1573,1.132,1.9067,1.3936,1.6482,1.226,0.947410155
6,0.0015909,1,-0.83271,0.64332,-0.6205,4.1261,0.86943,0.76915,0.28425,0.58708,0.98043,0.029617,0.947410155
6,0.0017436,1,-1.5821,2.5346,1.2252,5.5407,1.8249,1.3936,1.5774,1.3056,1.2809,1.045,0.947410155
6,0.0020947,1,1.1896,-0.5224,0.87903,3.9905,0.71641,1.2379,1.5116,1.4828,0.88451,1.5267,0.947410155
